DistCode,Year,StateCode,StateName,DistName,TotalPop1000,TotalMale1000,TotalFemale1000,TotalLITPop,MaleLITPop,FemaleLITPop,PerCapita1000,TotalPop,MALE_LIT,FEMALE_LIT,OVERALL_LIT,Per capita,TotalCrime,Crime_rate,GDPP
1,2011,14,Chhattisgarh,Durg,5465,2737.52,2727.48,3605.82,2022.41,1583.41,57,5465000,73.87745112,58.05395457,65.98023788,57000,11218,205.2698994,0.010430009
2,2011,14,Chhattisgarh,Bastar,3090.83,1534.73,1556.1,1441.68,844.7,596.99,33,3090830,55.03899709,38.364501,46.64378177,33000,5500,177.9457298,0.010676744
3,2011,14,Chhattisgarh,Raipur,5896.4,2958.06,2938.36,3814.54,2161.17,1653.37,75,5896400,73.06038417,56.26846268,64.69269385,75000,10652,180.6526016,0.012719626
4,2011,14,Chhattisgarh,Bilaspur,5728.51,2899.71,2828.82,3485.06,2031.61,1453.46,52,5728510,70.06252349,51.38043424,60.83711122,52000,5446,95.06835111,0.009077404
5,2011,14,Chhattisgarh,Raigarh,2345.65,1175.03,1170.63,1447.06,823.42,623.64,58,2345650,70.07650868,53.27387817,61.69121565,58000,3024,128.9194893,0.024726622
6,2011,14,Chhattisgarh,Surguja,3018.81,1527.87,1490.94,1585.76,924.61,661.16,28,3018810,60.51627429,44.34517821,52.52930791,28000,2312,76.5864695,0.009275178
7,2011,6,Madhya Pradesh,Jabalpur,3755.33,1939.29,1816.04,2547.24,1440.89,1106.35,66,3755330,74.29987263,60.92101496,67.82999097,66000,10293,274.0904261,0.01757502
8,2011,6,Madhya Pradesh,Balaghat,1701.7,842.18,859.52,1147.62,626.47,521.16,34,1701700,74.38671068,60.63384214,67.4396192,34000,2447,143.7973791,0.01998002
9,2011,6,Madhya Pradesh,Chhindwara,2090.92,1064.47,1026.45,1294.2,731.29,562.9,35,2090920,68.69991639,54.83949535,61.8961988,35000,5180,247.7378379,0.016739043
10,2011,6,Madhya Pradesh,Narsinghpur,1091.85,568.81,523.04,718.79,413.49,305.29,38,1091850,72.69386966,58.36838483,65.83230297,38000,2949,270.0920456,0.034803315
11,2011,6,Madhya Pradesh,Seoni / Shivani,1379.13,695.88,683.25,864.19,485.34,378.85,31,1379130,69.74478358,55.44822539,62.66196805,31000,2712,196.6457114,0.022477939
12,2011,6,Madhya Pradesh,Mandla,1759.43,877.18,882.24,983.67,570.79,412.89,31,1759430,65.07102305,46.80019042,55.90844762,31000,2210,125.608862,0.017619343
13,2011,6,Madhya Pradesh,Sagar,2378.46,1256.26,1122.2,1545.72,908.61,637.11,37,2378460,72.32658845,56.77330244,64.98826972,37000,8978,377.4711368,0.015556284
14,2011,6,Madhya Pradesh,Damoh,1264.22,661.87,602.35,747.72,445.74,301.98,28,1264220,67.34555124,50.13364323,59.14476911,28000,3649,288.6364715,0.022148044
15,2011,6,Madhya Pradesh,Tikamgarh,1445.17,760.36,684.81,747.94,459.35,288.59,23,1445170,60.41217318,42.14161592,51.75446487,23000,3240,224.1950774,0.015915083
16,2011,6,Madhya Pradesh,Chhatarpur,1762.38,936.12,826.25,943.03,572.01,371.02,27,1762380,61.1043456,44.90408472,53.50889139,27000,5133,291.2538726,0.015320192
17,2011,6,Madhya Pradesh,Panna,1016.52,533.48,483.04,552.56,332.14,220.42,23,1016520,62.25912874,45.63183173,54.35800575,23000,2277,223.9995278,0.022626215
18,2011,6,Madhya Pradesh,Rewa,2365.11,1225.1,1140.01,1441.76,845.57,596.19,27,2365110,69.02048812,52.29690968,60.95953254,27000,5007,211.7026269,0.01141596
